Ruang 1,22:54:02,-80,-93
Ruang 1,22:54:02,-44,-120
Ruang 1,22:54:04,-42,-120
Ruang 1,22:54:05,-44,-93
Ruang 1,22:54:07,-42,-120
Ruang 1,22:54:08,-45,-120
Ruang 1,22:54:11,-41,-95
Ruang 1,22:54:13,-45,-120
Ruang 1,22:54:14,-41,-120
Ruang 1,22:54:16,-43,-120
Ruang 1,22:54:17,-42,-120
Ruang 1,22:54:19,-46,-120
Ruang 1,22:54:20,-45,-120
Ruang 1,22:54:22,-42,-120
Ruang 1,22:54:24,-42,-120
Ruang 1,22:54:25,-45,-96
Ruang 1,22:54:26,-42,-99
Ruang 1,22:54:27,-42,-95
Ruang 1,22:54:30,-42,-120
Ruang 1,22:54:33,-42,-120
Ruang 1,22:54:34,-41,-120
Ruang 1,22:54:36,-43,-120
Ruang 1,22:54:37,-42,-120
Ruang 1,22:54:39,-42,-120
Ruang 1,22:54:41,-42,-120
Ruang 1,22:54:42,-41,-120
Ruang 1,22:54:44,-43,-120
Ruang 1,22:54:45,-42,-120
Ruang 1,22:54:47,-43,-120
Ruang 1,22:54:48,-42,-120
Ruang 1,22:54:50,-43,-120
Ruang 1,22:54:51,-42,-120
Ruang 1,22:54:53,-41,-120
Ruang 1,22:54:54,-42,-120
Ruang 1,22:54:56,-42,-120
Ruang 1,22:54:57,-42,-120
Ruang 1,22:54:59,-42,-120
Ruang 2,22:55:31,-92,-60
Ruang 2,22:55:33,-120,-60
Ruang 2,22:55:35,-90,-120
Ruang 2,22:55:36,-91,-62
Ruang 2,22:55:37,-95,-63
Ruang 2,22:55:38,-91,-60
Ruang 2,22:55:39,-120,-63
Ruang 2,22:55:40,-93,-62
Ruang 2,22:55:41,-91,-62
Ruang 2,22:55:41,-92,-62
Ruang 2,22:55:42,-96,-63
Ruang 2,22:55:42,-92,-62
Ruang 2,22:55:43,-91,-62
Ruang 2,22:55:44,-90,-62
Ruang 2,22:55:44,-93,-62
Ruang 2,22:55:46,-95,-60
Ruang 2,22:55:46,-94,-62
Ruang 2,22:55:47,-92,-59
Ruang 2,22:55:48,-91,-63
Ruang 2,22:55:50,-120,-60
Ruang 2,22:55:51,-93,-62
Ruang 2,22:55:53,-94,-120
Ruang 2,22:55:54,-93,-120
Ruang 2,22:55:55,-120,-62
Ruang 2,22:55:56,-90,-62
Ruang 2,22:55:57,-94,-62
Ruang 2,22:55:59,-97,-120
Ruang 2,22:56:00,-120,-59
Ruang 2,22:56:01,-92,-62
Ruang 2,22:56:02,-90,-63
Ruang 2,22:56:03,-91,-62
Ruang 2,22:56:04,-92,-59
Ruang 2,22:56:05,-120,-59
Ruang 2,22:56:06,-93,-59
Ruang 2,22:56:07,-92,-60
Ruang 2,22:56:08,-120,-59
Ruang 2,22:56:10,-93,-60
Ruang 2,22:56:11,-120,-63
Ruang 2,22:56:16,-120,-62
Ruang 2,22:56:17,-90,-120
Ruang 2,22:56:19,-120,-58
Ruang 2,22:56:20,-94,-62
Ruang 2,22:56:20,-93,-60
Ruang 2,22:56:22,-120,-59
Ruang 2,22:56:24,-120,-62
Ruang 2,22:56:24,-92,-62
