Ruang 1,-1207:28:12,-69,-120
Ruang 1,-1207:28:15,-67,-120
Ruang 1,-1207:28:17,-120,-91
Ruang 1,-1207:28:19,-81,-120
Ruang 1,-1207:28:20,-69,-120
Ruang 1,-1207:28:21,-67,-94
Ruang 1,-1207:28:21,-70,-86
Ruang 1,-1207:28:22,-73,-88
Ruang 1,-1207:28:22,-72,-88
Ruang 1,-1207:28:24,-81,-96
Ruang 1,-1207:28:25,-72,-120
Ruang 1,-1207:28:27,-74,-120
Ruang 1,-1207:28:28,-80,-120
Ruang 1,-1207:28:30,-74,-120
Ruang 1,-1207:28:31,-82,-120
Ruang 1,-1207:28:34,-73,-120
Ruang 1,-1207:28:37,-74,-120
Ruang 1,-1207:28:39,-74,-120
Ruang 1,-1207:28:40,-75,-120
Ruang 1,-1207:28:43,-80,-120
Ruang 1,-1207:28:45,-74,-120
Ruang 1,-1207:28:47,-73,-120
Ruang 1,-1207:28:50,-74,-120
Ruang 1,-1207:28:51,-80,-120
Ruang 1,-1207:28:53,-74,-120
Ruang 1,-1207:28:54,-74,-120
Ruang 1,-1207:28:56,-74,-120
Ruang 1,-1207:28:57,-80,-120
Ruang 1,-1207:28:59,-74,-120
Ruang 1,-1207:29:00,-73,-120
Ruang 1,-1207:29:02,-73,-120
Ruang 1,-1207:29:04,-82,-120
Ruang 1,-1207:29:07,-81,-120
Ruang 1,-1207:29:08,-82,-120
Ruang 1,-1207:29:11,-75,-120
Ruang 1,-1207:29:14,-74,-120
Ruang 1,-1207:29:16,-74,-120
Ruang 1,-1207:29:17,-74,-120
Ruang 1,-1207:29:19,-81,-120
Ruang 1,-1207:29:22,-81,-120
Ruang 1,-1207:29:25,-81,-120
Ruang 1,-1207:29:27,-74,-120
Ruang 1,-1207:29:28,-73,-120
Ruang 1,-1207:29:30,-74,-120
Ruang 1,-1207:29:34,-73,-120
Ruang 1,-1207:29:36,-74,-120
Ruang 1,-1207:29:37,-75,-120
Ruang 1,-1207:29:39,-73,-120
Ruang 1,-1207:29:41,-75,-120
Ruang 1,-1207:29:42,-80,-120
Ruang 1,-1207:29:44,-73,-120
Ruang 1,-1207:29:45,-74,-120
Ruang 1,-1207:29:47,-81,-120
Ruang 1,-1207:29:48,-74,-120
Ruang 1,-1207:29:50,-73,-120
Ruang 1,-1207:29:51,-74,-120
Ruang 1,-1207:29:53,-75,-120
Ruang 1,-1207:29:57,-80,-120
Ruang 1,-1207:30:01,-82,-120
Ruang 1,-1207:30:04,-73,-120
Ruang 1,-1207:30:10,-80,-120
Ruang 1,-1207:30:13,-83,-120
Ruang 1,-1207:30:16,-75,-120
Ruang 1,-1207:30:30,-75,-120
Ruang 1,-1207:30:39,-82,-120
Ruang 1,-1207:30:42,-78,-120
Ruang 1,-1207:30:44,-73,-120
Ruang 1,-1207:30:44,-65,-85
Ruang 1,-1207:30:45,-79,-85
Ruang 1,-1207:30:45,-78,-87
Ruang 1,-1207:30:46,-69,-95
Ruang 1,-1207:30:48,-64,-120
Ruang 1,-1207:30:49,-65,-96
Ruang 1,-1207:30:51,-65,-120
Ruang 1,-1207:30:52,-64,-120
Ruang 1,-1207:30:54,-63,-120
Ruang 1,-1207:30:57,-67,-120
Ruang 1,-1207:30:58,-71,-120
Ruang 1,-1207:30:59,-67,-90
Ruang 1,-1207:31:00,-65,-93
Ruang 1,-1207:31:00,-67,-90
Ruang 1,-1207:31:01,-70,-88
Ruang 1,-1207:31:02,-67,-91
Ruang 1,-1207:31:02,-66,-88
Ruang 1,-1207:31:04,-68,-88
Ruang 1,-1207:31:05,-65,-89
Ruang 1,-1207:31:07,-69,-91
Ruang 1,-1207:31:08,-69,-120
Ruang 1,-1207:31:10,-63,-120
Ruang 1,-1207:31:11,-69,-120
Ruang 1,-1207:31:13,-64,-120
Ruang 1,-1207:31:14,-69,-120
Ruang 1,-1207:31:17,-69,-120
Ruang 2,-1207:31:47,-92,-76
Ruang 2,-1207:31:49,-120,-68
Ruang 2,-1207:31:49,-92,-70
Ruang 2,-1207:31:51,-93,-120
Ruang 2,-1207:31:51,-90,-69
Ruang 2,-1207:31:52,-91,-72
Ruang 2,-1207:31:54,-91,-120
Ruang 2,-1207:31:54,-91,-69
Ruang 2,-1207:31:56,-120,-69
Ruang 2,-1207:31:57,-120,-68
Ruang 2,-1207:31:58,-95,-68
Ruang 2,-1207:32:00,-97,-69
Ruang 2,-1207:32:01,-120,-68
Ruang 2,-1207:32:02,-94,-72
Ruang 2,-1207:32:02,-95,-72
Ruang 2,-1207:32:03,-95,-72
Ruang 2,-1207:32:04,-93,-69
Ruang 2,-1207:32:06,-120,-69
Ruang 2,-1207:32:07,-92,-72
Ruang 2,-1207:32:08,-94,-68
Ruang 2,-1207:32:09,-91,-69
Ruang 2,-1207:32:10,-89,-120
Ruang 2,-1207:32:11,-120,-69
Ruang 2,-1207:32:13,-92,-69
Ruang 2,-1207:32:14,-94,-72
Ruang 2,-1207:32:15,-120,-72
Ruang 2,-1207:32:16,-94,-69
Ruang 2,-1207:32:17,-96,-70
Ruang 2,-1207:32:18,-93,-69
Ruang 2,-1207:32:18,-93,-69
Ruang 2,-1207:32:20,-120,-72
Ruang 2,-1207:32:21,-94,-70
Ruang 2,-1207:32:22,-92,-68
Ruang 2,-1207:32:23,-94,-68
Ruang 2,-1207:32:23,-93,-69
Ruang 2,-1207:32:24,-93,-70
Ruang 2,-1207:32:25,-96,-69
Ruang 2,-1207:32:26,-94,-69
Ruang 2,-1207:32:27,-93,-69
Ruang 2,-1207:32:28,-120,-69
Ruang 2,-1207:32:29,-95,-72
Ruang 2,-1207:32:30,-120,-69
Ruang 2,-1207:32:32,-120,-69
Ruang 2,-1207:32:33,-90,-68
Ruang 2,-1207:32:34,-120,-69
Ruang 2,-1207:32:35,-90,-68
Ruang 2,-1207:32:37,-120,-69
Ruang 2,-1207:32:38,-96,-69
Ruang 2,-1207:32:39,-93,-69
Ruang 2,-1207:32:40,-94,-71
Ruang 2,-1207:32:41,-88,-120
Ruang 2,-1207:32:42,-95,-75
Ruang 2,-1207:32:42,-90,-74
Ruang 2,-1207:32:43,-90,-73
Ruang 2,-1207:32:44,-93,-69
Ruang 2,-1207:32:44,-91,-73
Ruang 2,-1207:32:45,-91,-70
Ruang 2,-1207:32:45,-90,-74
Ruang 2,-1207:32:47,-120,-69
Ruang 2,-1207:32:47,-94,-74
